url,label,kind,paint_type,color,color_family,glans,full_code,sku,product_handle,slug
https://www.denlillemalerfabrik.dk/qr/dlm60-0104-g60,Gulvmaling — Cremehvid · Glans 60,color,Gulvmaling,Cremehvid,,60,DLM60-0104,DLM60-0104-G60-10L,gulvmaling-glans-60,/qr/dlm60-0104-g60
https://www.denlillemalerfabrik.dk/qr/dlm60-0201-g30,Gulvmaling — Isklar · Glans 30,color,Gulvmaling,Isklar,,30,DLM60-0201,DLM60-0201-G30-10L,gulvmaling-glans-30,/qr/dlm60-0201-g30
https://www.denlillemalerfabrik.dk/qr/dlm60-0201-g40,Gulvmaling — Isklar · Glans 40,color,Gulvmaling,Isklar,,40,DLM60-0201,DLM60-0201-G40-10L,gulvmaling-glans-40,/qr/dlm60-0201-g40
https://www.denlillemalerfabrik.dk/qr/dlm60-0201-g60,Gulvmaling — Isklar · Glans 60,color,Gulvmaling,Isklar,,60,DLM60-0201,DLM60-0201-G60-10L,gulvmaling-glans-60,/qr/dlm60-0201-g60
https://www.denlillemalerfabrik.dk/qr/dlm60-0202-g30,Gulvmaling — Himmellys · Glans 30,color,Gulvmaling,Himmellys,,30,DLM60-0202,DLM60-0202-G30-10L,gulvmaling-glans-30,/qr/dlm60-0202-g30
https://www.denlillemalerfabrik.dk/qr/dlm60-0202-g40,Gulvmaling — Himmellys · Glans 40,color,Gulvmaling,Himmellys,,40,DLM60-0202,DLM60-0202-G40-10L,gulvmaling-glans-40,/qr/dlm60-0202-g40
https://www.denlillemalerfabrik.dk/qr/dlm60-0202-g60,Gulvmaling — Himmellys · Glans 60,color,Gulvmaling,Himmellys,,60,DLM60-0202,DLM60-0202-G60-10L,gulvmaling-glans-60,/qr/dlm60-0202-g60
https://www.denlillemalerfabrik.dk/qr/dlm60-0203-g30,Gulvmaling — Havbrise · Glans 30,color,Gulvmaling,Havbrise,,30,DLM60-0203,DLM60-0203-G30-10L,gulvmaling-glans-30,/qr/dlm60-0203-g30
https://www.denlillemalerfabrik.dk/qr/dlm60-0203-g40,Gulvmaling — Havbrise · Glans 40,color,Gulvmaling,Havbrise,,40,DLM60-0203,DLM60-0203-G40-10L,gulvmaling-glans-40,/qr/dlm60-0203-g40
https://www.denlillemalerfabrik.dk/qr/dlm60-0203-g60,Gulvmaling — Havbrise · Glans 60,color,Gulvmaling,Havbrise,,60,DLM60-0203,DLM60-0203-G60-10L,gulvmaling-glans-60,/qr/dlm60-0203-g60
https://www.denlillemalerfabrik.dk/qr/dlm60-0204-g30,Gulvmaling — Dybhav · Glans 30,color,Gulvmaling,Dybhav,,30,DLM60-0204,DLM60-0204-G30-10L,gulvmaling-glans-30,/qr/dlm60-0204-g30
https://www.denlillemalerfabrik.dk/qr/dlm60-0204-g40,Gulvmaling — Dybhav · Glans 40,color,Gulvmaling,Dybhav,,40,DLM60-0204,DLM60-0204-G40-10L,gulvmaling-glans-40,/qr/dlm60-0204-g40
https://www.denlillemalerfabrik.dk/qr/dlm60-0204-g60,Gulvmaling — Dybhav · Glans 60,color,Gulvmaling,Dybhav,,60,DLM60-0204,DLM60-0204-G60-10L,gulvmaling-glans-60,/qr/dlm60-0204-g60
https://www.denlillemalerfabrik.dk/qr/dlm60-0301-g30,Gulvmaling — Sølvtåge · Glans 30,color,Gulvmaling,Sølvtåge,,30,DLM60-0301,DLM60-0301-G30-10L,gulvmaling-glans-30,/qr/dlm60-0301-g30
https://www.denlillemalerfabrik.dk/qr/dlm60-0301-g40,Gulvmaling — Sølvtåge · Glans 40,color,Gulvmaling,Sølvtåge,,40,DLM60-0301,DLM60-0301-G40-10L,gulvmaling-glans-40,/qr/dlm60-0301-g40
https://www.denlillemalerfabrik.dk/qr/dlm60-0301-g60,Gulvmaling — Sølvtåge · Glans 60,color,Gulvmaling,Sølvtåge,,60,DLM60-0301,DLM60-0301-G60-10L,gulvmaling-glans-60,/qr/dlm60-0301-g60
https://www.denlillemalerfabrik.dk/qr/dlm60-0302-g30,Gulvmaling — Drivsten · Glans 30,color,Gulvmaling,Drivsten,,30,DLM60-0302,DLM60-0302-G30-10L,gulvmaling-glans-30,/qr/dlm60-0302-g30
https://www.denlillemalerfabrik.dk/qr/dlm60-0302-g40,Gulvmaling — Drivsten · Glans 40,color,Gulvmaling,Drivsten,,40,DLM60-0302,DLM60-0302-G40-10L,gulvmaling-glans-40,/qr/dlm60-0302-g40
